fuel_flow,t_source,eta_sys,t_sink,cop_hp,status,is_valid
0.0001830738280295366,-25.757575757575758,1.7078265486511406,18.838456212986564,4.409421828837135,valid,True
0.0001830738280295366,-24.343434343434343,1.746388015111953,19.09027766604535,4.537960050373177,valid,True
0.0001830738280295366,-22.929292929292927,1.786731309087658,19.35397575699357,4.67243769695886,valid,True
0.0001830738280295366,-21.515151515151516,1.827267472722367,19.678948223328412,4.8075582424078895,valid,True
0.0001830738280295366,-20.1010101010101,1.8715183776376143,19.96374470556458,4.955061258792047,valid,True
0.0001830738280295366,-18.686868686868685,1.9178472271079587,20.262451972929092,5.109490757026529,valid,True
0.0001830738280295366,-17.272727272727273,1.9663551998169313,20.575807065350183,5.271183999389772,valid,True
0.0001830738280295366,-15.858585858585858,2.017145630373742,20.904567557322004,5.44048543457914,valid,True
0.0001830738280295366,-14.444444444444445,2.0703234857663415,21.249507093692586,5.617744952554471,valid,True
0.0001830738280295366,-13.030303030303031,2.125994763221576,21.61140980932369,5.803315877405254,valid,True
0.0001830738280295366,-11.616161616161616,2.184265818282653,21.991063579128973,5.997552727608843,valid,True
0.0001830738280295366,-10.2020202020202,2.2424235327864874,22.439070393375285,6.191411775954958,valid,True
0.0001830738280295366,-8.787878787878789,2.3065222940199734,22.84823029914582,6.405074313399911,valid,True
0.0001830738280295366,-7.373737373737374,2.3735506425031896,23.278033614457975,6.6285021416772985,valid,True
0.0001830738280295366,-5.9595959595959584,2.443601054518838,23.72929402701631,6.862003515062793,valid,True
0.0001830738280295366,-4.545454545454547,2.516760832173857,24.202771623607838,7.105869440579523,valid,True
0.0001830738280295366,-3.1313131313131315,2.593111723216997,24.699155442755988,7.360372410723323,valid,True
0.0001830738280295366,-1.7171717171717162,2.668672382563065,25.266957224308836,7.612241275210216,valid,True
0.0001830738280295366,-0.30303030303030454,2.752538890370917,25.79759765959216,7.891796301236389,valid,True
0.0001830738280295366,1.1111111111111107,2.8397513031822377,26.354785439287276,8.182504343940792,valid,True
0.0001830738280295366,2.525252525252526,2.930330593757244,26.93890667301981,8.484435312524147,valid,True
0.0001830738280295366,3.9393939393939377,3.0242972337036518,27.550115487455614,8.797657445678839,valid,True
0.0001830738280295366,5.3535353535353565,3.1170967388208686,28.22647624964128,9.106989129402896,valid,True
0.0001830738280295366,6.767676767676768,3.2200675156823135,28.87210915355148,9.450225052274378,valid,True
0.0001830738280295366,8.18181818181818,3.325944408989472,29.550620303864115,9.803148029964905,valid,True
0.0001830738280295366,9.595959595959599,3.4346686406361284,30.261003058350028,10.165562135453762,valid,True
0.0001830738280295366,11.01010101010101,3.5461264330491096,31.00250482173745,10.5370881101637,valid,True
0.0001830738280295366,12.424242424242422,3.667669633063563,31.730526569452643,10.942232110211876,valid,True
0.0001830738280295366,13.838383838383841,3.788296770979629,32.51226688278608,11.344322569932096,valid,True
0.0001830738280295366,15.252525252525253,3.9067749424184988,33.34788564657194,11.739249808061661,valid,True
0.0001830738280295366,16.666666666666664,4.022282750917797,34.23491160056726,12.124275836392657,valid,True
0.0001830738280295366,18.080808080808083,4.163397203951269,35.039300372677616,12.59465734650423,valid,True
0.0001830738280295366,19.494949494949495,4.28662559710701,35.96141786622255,13.005418657023364,valid,True
0.0001830738280295366,20.909090909090907,4.418348174830213,36.87970296966782,13.444493916100711,valid,True
0.0001830738280295366,22.323232323232325,4.570907355299224,37.75242560774507,13.95302451766408,valid,True
0.0001830738280295366,23.737373737373737,4.715245681935321,38.69051316822858,14.434152273117736,valid,True
0.0001830738280295366,25.15151515151515,4.844776419712805,39.70607411377023,14.865921399042684,valid,True
0.0001830738280295366,26.565656565656568,4.993967327933368,40.683667519595915,15.36322442644456,valid,True
0.0001830738280295366,27.97979797979798,5.142908321621021,41.68849165210205,15.8596944054034,valid,True
0.0001830738280295366,29.39393939393939,5.315415660705792,42.65455976485043,16.434718869019306,valid,True
0.0001830738280295366,30.80808080808081,5.470759959364408,43.69264445062451,16.95253319788136,valid,True
0.0001830738280295366,32.22222222222222,5.629041435133779,44.745138462761815,17.480138117112595,valid,True
0.0002310129700083158,-30.0,1.560264659502438,19.89919144968867,3.9175488650081274,valid,True
0.0002310129700083158,-28.585858585858585,1.5909112078111443,20.152298187242174,4.019704026037148,valid,True
0.0002310129700083158,-27.171717171717173,1.622824000144218,20.41606339397675,4.126080000480727,valid,True
0.0002310129700083158,-25.757575757575758,1.6548193863617648,20.737210464451856,4.232731287872549,valid,True
0.0002310129700083158,-24.343434343434343,1.689485728497989,21.0198282618221,4.348285761659964,valid,True
0.0002310129700083158,-22.929292929292927,1.7256038499179505,21.314717850349233,4.468679499726502,valid,True
0.0002310129700083158,-21.515151515151516,1.7632369189829387,21.622453843179457,4.594123063276462,valid,True
0.0002310129700083158,-20.1010101010101,1.802449424752677,21.943625458831455,4.724831415842257,valid,True
0.0002310129700083158,-18.686868686868685,1.8433069391882526,22.27883395396098,4.861023130627508,valid,True
0.0002310129700083158,-17.272727272727273,1.8858758438917314,22.62868947929888,5.002919479639104,valid,True
0.0002310129700083158,-15.858585858585858,1.9302230233493898,22.99380733073918,5.150743411164632,valid,True
0.0002310129700083158,-14.444444444444445,1.9764155281468463,23.37480358897681,5.304718427156154,valid,True
0.0002310129700083158,-13.030303030303031,2.022526118274222,23.81735933204167,5.458420394247406,valid,True
0.0002310129700083158,-11.616161616161616,2.0728168940949017,24.224935048729307,5.626056313649673,valid,True
0.0002310129700083158,-10.2020202020202,2.1251591607130473,24.65067200011194,5.800530535710158,valid,True
0.0002310129700083158,-8.787878787878789,2.179612694628964,25.09519918772952,5.98204231542988,valid,True
0.0002310129700083158,-7.373737373737374,2.236234772436609,25.55911079972642,6.170782574788696,valid,True
0.0002310129700083158,-5.9595959595959584,2.295079925608975,26.042956330145124,6.36693308536325,valid,True
0.0002310129700083158,-4.545454545454547,2.353111451940249,26.59597635000079,6.560371506467497,valid,True
0.0002310129700083158,-3.1313131313131315,2.41713946955015,27.10950694216418,6.773798231833833,valid,True
0.0002310129700083158,-1.7171717171717162,2.483509931927993,27.645846357399595,6.995033106426644,valid,True
0.0002310129700083158,-0.30303030303030454,2.5522464284532824,28.20537018747565,7.224154761510941,valid,True
0.0002310129700083158,1.1111111111111107,2.623370511608305,28.788318584533172,7.46123503869435,valid,True
0.0002310129700083158,2.525252525252526,2.6969037377564855,29.39478461087349,7.706345792521618,valid,True
0.0002310129700083158,3.9393939393939377,2.7698759729090794,30.057239821688636,7.949586576363599,valid,True
0.0002310129700083158,5.3535353535353565,2.849544746031785,30.695756377689403,8.215149153439285,valid,True
0.0002310129700083158,6.767676767676768,2.931391648345729,31.36189377663581,8.487972161152433,valid,True
0.0002310129700083158,8.18181818181818,3.015412003071358,32.05489120782108,8.768040010237861,valid,True
0.0002310129700083158,9.595959595959599,3.0994845169113514,32.791835850370504,9.048281723037839,valid,True
0.0002310129700083158,11.01010101010101,3.1913366505587004,33.507252568569804,9.354455501862336,valid,True
0.0002310129700083158,12.424242424242422,3.283580344044978,34.26365271144718,9.661934480149927,valid,True
0.0002310129700083158,13.838383838383841,3.3759544518612636,35.0592316902773,9.96984817287088,valid,True
0.0002310129700083158,15.252525252525253,3.4685271690874497,35.88999587935737,10.278423896958168,valid,True
0.0002310129700083158,16.666666666666664,3.5713499949880765,36.69041217372759,10.621166649960257,valid,True
0.0002310129700083158,18.080808080808083,3.673964920404024,37.52974211236403,10.963216401346747,valid,True
0.0002310129700083158,19.494949494949495,3.7787825447023917,38.391031208434434,11.312608482341307,valid,True
0.0002310129700083158,20.909090909090907,3.884079911654366,39.282165374621854,11.663599705514555,valid,True
0.0002310129700083158,22.323232323232325,3.994055801189213,40.18020878150265,12.030186003964044,valid,True
0.0002310129700083158,23.737373737373737,4.095582202927114,41.14670280587043,12.36860734309038,valid,True
0.0002310129700083158,25.15151515151515,4.216812476312456,42.05033173957762,12.772708254374857,valid,True
0.0002310129700083158,26.565656565656568,4.330567827729617,43.01476231383846,13.151892759098725,valid,True
0.0002310129700083158,27.97979797979798,4.447596461537998,43.99066581400605,13.541988205126662,valid,True
0.0002310129700083158,29.39393939393939,4.568172592893164,44.977031272583204,13.943908642977213,valid,True
0.0002310129700083158,30.80808080808081,4.673112546951137,46.04032000731708,14.293708489837126,valid,True
0.0002310129700083158,32.22222222222222,4.8101146160196615,47.013605011418015,14.750382053398875,valid,True
0.0002310129700083158,33.63636363636363,4.935061710463805,48.04929625793815,15.166872368212685,valid,True
0.0002915053062825176,-30.0,1.5132980210940334,22.019389353320133,3.760993403646778,valid,True
0.0002915053062825176,-28.585858585858585,1.5408409348480003,22.30383679371486,3.852803116160001,valid,True
0.0002915053062825176,-27.171717171717173,1.5694154763063732,22.59930532992179,3.9480515876879103,valid,True
0.0002915053062825176,-25.757575757575758,1.5990614262327805,22.906248005025514,4.046871420775934,valid,True
0.0002915053062825176,-24.343434343434343,1.6298193138437946,23.225127632251763,4.1493977128126485,valid,True
